"Visit name";"Form name";"Form number";"Field number";"Exported field type";"Original field type";"Variable name";"Field label";"Optiongroup name";"Field required";"Field min";"Field max";"Field units";"Field info";"Calculation/summary template";"Field hidden";"Dependency parent name";"Field dependency operator";"Field dependency value"
Baseline;Inclusion;1;1;date;date;V1_Incl_VisDat;"Date of baseline visit";;1;;;;;;0;;;
Baseline;Inclusion;1;2;radio;radio;V1_Incl_StGroup;"Study group";StGroup;1;;;;;;0;;;
Baseline;Inclusion;1;3;radio;radio;V1_Incl_Incl01;"Age 2-4 years";YesNoNA;1;;;;;;0;;;
Baseline;Inclusion;1;2.1;radio;radio;V1_Incl_Incl02;"Presence of 2 or more objectified (by a physician or nurse) complaints of wheezing and shortness of breath";YesNoNA;1;;;;;;0;"Study group";==;2
Baseline;Inclusion;1;2.2;radio;radio;V1_Incl_Excl01;"History of asthma or wheeze";NoYes;1;;;;;;0;"Study group";==;1
Baseline;Inclusion;1;2.3;radio;radio;V1_Incl_Excl02;"Other chronic  conditions, or in specialist care for specific symptoms";NoYes;1;;;;;;0;"Study group";==;1
Baseline;Inclusion;1;2.4;radio;radio;V1_Incl_Excl03;"Recent systemic course of corticosteroids or antibiotics (< 1 month before test)";NoYes;1;;;;;;0;"Study group";==;2
Baseline;Inclusion;1;2.5;radio;radio;V1_Incl_Excl04;"Other chronic inflammatory disease than asthma (e.g. inflammatory bowel disease, auto-immune disorders, rheumatoid arthritis)";NoYes;1;;;;;;0;"Study group";==;2
Baseline;Inclusion;1;2.6;radio;radio;V1_Incl_Excl05;"Mental disability";NoYes;1;;;;;;0;"Study group";==;2
Baseline;Inclusion;1;2.7;radio;radio;V1_Incl_Excl06;"Other chronic diseases (e.g. cardiac disease, congenital lung disease, kidney or liver disease)";NoYes;1;;;;;;0;"Study group";==;2
Baseline;Inclusion;1;2.8;radio;radio;V1_Incl_Excl07;"Not able to perform the study procedures adequately";NoYes;1;;;;;;0;"Study group";==;2
Baseline;Inclusion;1;4;radio;radio;V1_Incl_ICP1;"Did parent/caregiver (1) sign the informed consent";YesNoNA;1;;;;;;0;;;
Baseline;Inclusion;1;4.1;date;date;V1_Incl_ICP1Dat;"Date of informed consent parent/caregiver (1)";;1;;;;;;0;"Did parent/caregiver (1) sign the informed consent";==;1
Baseline;Inclusion;1;5;radio;radio;V1_Incl_P2;"Does the child have another parent/caregiver";YesNoNA;1;;;;;;0;;;
Baseline;Inclusion;1;5.1;string;string;V1_Incl_P2No;"If no, specify";;1;;;;;;0;"Does the child have another parent/caregiver";==;0
